保険者名	"国民健康保険
保険者番号"	city_cat_code
水戸市	00080010	3
日立市	00080028	2
土浦市	00080036	5
古河市	00080044	6
石岡市	00080051	5
結城市	00080077	6
龍ケ崎市	00080085	5
下妻市	00080101	6
常総市	00080119	6
常陸太田市	00080127	1
高萩市	00080143	2
北茨城市	00080150	1
取手市	00080176	5
茨城町	00080200	3
大洗町	00080275	3
東海村	00080325	3
那珂市	00080333	3
常陸大宮市	00080358	1
大子町	00080424	1
鹿嶋市	00080481	4
神栖市	00080499	4
潮来市	00080531	4
美浦村	00080572	5
阿見町	00080580	5
牛久市	00080598	5
河内町	00080622	5
八千代町	00080820	6
五霞町	00080861	6
境町	00080895	6
守谷市	00080903	5
利根町	00080929	5
つくば市	00080937	5
ひたちなか市	00080945	3
城里町	00080952	3
稲敷市	00080960	5
坂東市	00080978	6
筑西市	00080986	6
かすみがうら市	00080994	5
行方市	00081000	4
桜川市	00081018	6
鉾田市	00081026	4
つくばみらい市	00081034	5
笠間市	00081042	3
小美玉市	00081059	3
